absolutnie,绝对,"jué duì"
Izabela,伊莎贝尔,yīshābèier
iść,走,zǒu
ja,我,wǒ
jabłko,苹果,píngguǒ
Jacek,亚泽克,yàzékè
jacht,小帆船,xiăofānchuán
jagoda,浆果,"jiāng guǒ"
jajko,蛋,dàn
"jajko kurze",鸡蛋,jīdàn
jajniki,卵巢,luăncháo
jak,怎么,"zěn me"
jakość,品质,"pǐn zhì"
Jakub,雅古布,yǎgǔbù
jamnik,腊肠犬,"là cháng quǎn"
Jan,杨,yáng
Janusz,亚努士,"yà nǔ shì"
Japonia,日本,rìběn
Jarosław,亚洛斯瓦夫,yàluòsīwǎfū
jaskinia,山洞,"shān dòng"
jaskółka,燕子,yànzi
jasny,明亮的,"míng liàng de"
jaspis,碧玉,"bì yù"
jastrząb,苍鹰,"cāng yīng"
jaszczurka,蜥蜴,"xī yì"
jaśmin,茉莉花,mòlìhuā
jechać,去,qù
jeden,一,yī
jednostka,单位,"dān wèi"
jedność,一致,"yī zhì"
jedwab,丝,sī
jedwab,丝绸,sīchóu
"jedwab sztuczny",人造丝,rénzàosī
jedynak,独生子,"dú shēng zǐ"
jedzenie,食物,"shí wù"
jeleń,鹿,lù
jelita,肠,cháng
jesień,秋天,qiūtiān
jezioro,湖,hú
Jezus,耶稣,yēsū
język,舌头,shétou
język,语言,yǔyán
jeśli,如果,"rú guǒ"
jeść,吃,chī
"jeździć na nartach",滑雪,"huá xuě"
jeżeli,如果,"rú guǒ"
Joanna,尤安娜,qiáoānnà
jogurt,酸奶,suānnǎi
jogurt,酸乳酪,"suān rŭlào"
jojo,溜溜球,"liū liū qiú"
Jowisz,木星,"mù xīng"
Józef,尤则夫,"yóu zé fū"
judaizm,犹太教,yóutàijiào
jujutsu,柔术,"róu shù"
Julia,尤莉娅,yóulìyà
jutro,明天,míngtiān
już,已经,yǐjīng
jądra,睾丸,gāowán
jądro,原子核,"yuán zǐ hé"
kabel,电缆,"diàn lǎn"
kaczka,鸭子,yāzi
kaczor,公鸭,gōngyā
kadzidło,香,xiāng
kajak,独木舟,"dú mù zhōu"
kajdanki,手铐,shǒukào
kakao,可可粉,"kě kě fěn"
kakao,可可饮料,"kě kě yǐn liào"
kaktus,仙人掌,xiānrénzhǎng
kalafior,花菜,huācài
kaleka,残疾人,cánjírén
kalendarz,日历,rìlì
Kalifornia,加利福尼亚,jiālìfúníyà
kaligrafia,书法,shūfă
kalkulator,计算器,jìsuànqì
kaloryfer,加热器,"jiā rè qì"
kalosz,雨鞋,"yǔ xié"
kameleon,变色龙,biànsèlóng
kamera,摄像机,shèxiángjī
kamera,摄影机,shèyǐngjī
kamień,石头,shítou
Kanada,加拿大,jiānádà
kanapa,沙发,"shā fā"
kanapka,三明治,"sān míng zhì"
kanarek,金丝雀,jīnsīquè
kandydat,候选人,"hòu xuǎn rén"
kangur,袋鼠,dàishǔ
Kansas,堪萨斯,kānsàsī
kantor,外汇兑换处,"wài huì duì huàn chǔ"
kapelusz,帽子,"mào zi"
kapeć,拖鞋,"tuō xié"
kapusta,卷心菜,"juǎn xīn cài"
"kapusta pekińska",大白菜,dàbáicài
kara,惩罚,chéngfá
karaluch,蟑螂,zhāngláng
karate,空手道,"kōng shǒu dào"
kariera,生涯,"shēng yá"
kark,经背,jǐngbèi
karmel,焦糖,"jiāo táng"
karnawał,嘉年华会,"jiā nián huā huì"
Karolina,卡罗琳,kǎluólín
karp,鲤鱼,"lǐ yú"
karta,卡片,"kǎ piàn"
"karta graficzna",显示卡,"xiǎn shì kǎ"
"karta kredytowa",信用卡,"xìn yòng kǎ"
kartka,卡片,"kǎ piàn"
"kartka pocztowa",明信片,"míng xìn piàn"
kartofel,马铃薯,mǎlíngshǔ
karuzela,旋转木马,"xuán zhuàn mù mǎ"
kasjer,出纳员,chūnàyuán
kaszmir,开司米,kāisīmĭ
Katarzyna,卡塔哲娜,kǎtàzhénà
katedra,大教堂,"dà jiào táng"
kategoria,类别,"lèi bié"
katolicyzm,天主教,tiānzhŭjiào
katolik,天主教徒,"tiān zhǔ jiào tú"
Katowice,卡托维兹,kǎtuōwéice
kawa,咖啡,"kā fēi"
kawaleria,骑兵,"qí bīng"
kawał,玩笑,"wán xiào"
kawał,笑话,"xiào huà"
kawiarnia,咖啡馆,"kā fēi guǎn"
Kazimiera,卡吉米拉,"kǎ jí mǐ lā"
Kazimierz,卡吉米日,kǎjímǐrì
każdy,每,měi
kelner,侍者,shìzhě
kiedy,什么时候,"shénme shíhou"
kierowca,司机,"sī jī"
kierownica,方向盘,"fāng xiàng pán"
kierownik,经理,"jīng lǐ"
kieszeń,衣袋,yīdài
kiełbasa,香肠,xiāngcháng
kij,杆,gān
kijanka,蝌蚪,"kē dǒu"
Kinga,金达,jīndá
kino,电影院,diànyǐngyuàn
kiosk,报亭,bàotíng
kiwi,猕猴桃,míhóutáo
klasa,教室,"jiào shì"
klasa,班级,"bān jí"
klasztor,修道院,"xiū dào yuàn"
klatka,笼子,"lóng zi"
"klatka piersiowa",胸腔,xiōngqiāng
klawiatura,键盘,"jiàn pán"
kleić,贴,tiē
klej,胶,jiāo
klepsydra,漏壶,"lòu hú"
klęska,败北,"bài běi"
klient,顾客,gùkè
klimat,气候,qìhòu
klimatyzacja,空调,"kōng tiáo"
klinika,诊所,"zhěn suǒ"
klown,小丑,"xiǎo chǒu"
klub,俱乐部,"jù lè bù"
klucz,钥匙,yàoshi
klucz,扳钳,"bān qián"
klucz,扳手,"bān shŏu"
klątwa,诅咒,"zǔ zhòu"
knajpa,酒吧,jiǔbā
kobiecość,女人味,"nǚ rén wèi"
kobieta,女,nǚ
kobra,眼镜蛇,"yǎn jìng shé"
koc,毛毯,"máo tǎn"
kocham,我爱,"wǒ ài"
"kocham cię",我爱你,"wǒ ài nǐ"
kochanek,情人,qíngrén
kochanie,爱,ài
kochany,亲爱的,qīn'àide
kochać,爱,ài
kocioł,锅炉,"guō lú"
kod,邮编,"yóu biān"
kogut,公鸡,gōngjī
kokon,茧,jiǎn
kokos,椰子,"yē zi"
kolacja,晚饭,wǎnfàn
kolano,膝,xī
kolec,刺,cī
kolega,同事,tóngshì
kolej,铁路,"tiě lù"
kolejka,长队,"cháng duì"
koliber,蜂鸟,"fēng niǎo"
kolonia,殖民地,"zhí mín dì"
kolonia,夏令营,"xià lìng yíng"
kolor,颜色,"yán sè"
Kolorado,科罗拉多,kēluólāduō
komar,蚊子,"wén zi"
kombinerki,钳子,qiánzi
komentarz,注释,"zhù shì"
komfort,舒适,"shū shì"
komin,烟囱,"yān cōng"
komórka,手机,shǒujī
komórka,细胞,"xì bāo"
kompas,指南针,"zhǐ nán zhēn"
komplikacja,复杂化,"fù zá huà"
kompresor,压缩机,"yā suō jī"
komputer,电脑,diànnǎo
komunizm,共产主义,"gòng chǎn zhǔ yì"
koń,马,mǎ
"koń trojański",特洛伊木马,"tè luò yī mù mǎ"
koncert,音乐会,yīnyuèhuì
kończyć,结束,jiéshù
koniec,结束,"jié shù"
"koniec świata",世界末日,"shì jiè mò rì"
konkurs,比赛,"bǐ sài"
Konstantynopol,君士坦丁堡,"jūn shì tǎn dīng bǎo"
kontakt,接触,"jiē chù"
kontener,集装箱,jízhuāngxiāng
konto,户头,"hù tóu"
kontrakt,合约,"hé yuē"
kontrast,对比,"duì bǐ"
kontrola,控制,"kòng zhì"
kontynuować,继续,jìxù
kopalnia,矿,kuàng
koparka,挖土机,wātǔjī
kopać,踢,tī
kopać,挖,wā
koperta,信封,"xìn fēng"
kopyto,蹄,tí
koralowiec,珊瑚纲,"shān hú gāng"
Korea,韩国,"hán guó"
"Korea Północna",朝鲜,"cháo xiǎn"
"Korea Południowa",韩国,"hán guó"
koreański,朝鲜语,"cháo xiǎn yǔ"
korona,王冠,"wáng guān"
korsarz,海盗,"hǎi dào"
korzeń,根,gēn
kosiarka,割草机,"gē cǎo jī"
kosmos,宇宙,yǔzhòu
kosz,篮子,"lán zi"
kosz,垃圾箱,"lā jī xiāng"
koszmar,恶梦,"è mèng"
koszt,代价,"dài jià"
koszyk,篮子,lánzi
koszykówka,篮球,lánqiú
kot,猫,māo
kowal,铁匠,"tiě jiang"
koza,山羊,shānyáng
Kozak,哥萨克人,"gē sà kè rén"
Koziorożec,魔羯座,móxiēzuò
kozioł,公山羊,"gōng shān yáng"
kości,骨头,gŭtóu
kościotrup,骷髅,"kū lóu"
kościół,教堂,"jiào táng"
"kościół katolicki",天主教,"tiān zhǔ jiào"
kość,骨头,"gǔ tou"
kołdra,被子,"bèi zi"
koło,圆,yuán
koło,轮,lún
kołowrotek,纺车,"fǎng chē"
kołysanka,摇篮曲,"yáo lán qǔ"
krab,蟹,xiè
kraj,国家,"guó jiā"
krajobraz,风景,"fēng jǐng"
Kraków,克拉科夫,kèlākēfū
krasnal,矮子,"ǎi zi"
krasnoludek,矮子,"ǎi zi"
krawężnik,边石,biānshí
kraść,偷,tōu
kreatywność,创造力,"chuàng zào lì"
kreda,粉笔,fěnbǐ
kręgosłup,脊椎骨,jĭzhuīgŭ
"krem do opalania",防晒霜,fángshàishuāng
krepa,绉,zhòu
kreskówka,动画片,"dòng huà piān"
kret,鼹鼠,"yǎn shǔ"
krew,血,xuè
krewetka,虾,xiā
krewny,亲属,qīnshǔ
krokodyl,鳄鱼,èyú
król,国王,"guó wáng"
królewna,公主,"gōng zhǔ"
króliczek,栗鼠,"lì shǔ"
królik,兔子,"tù zi"
królowa,女王,"nǚ wáng"
kropka,点,diǎn
kropla,滴,dī
krótki,短,duǎn
krowa,母牛,mǔniú
krowa,奶牛,nǎiniú
kruk,大乌鸦,"dà wū yā"
Krystyna,克莉斯婷娜,"kè lì sī tīng nà"
kryształ,水晶,"shuǐ jīng"
kryzys,危机,wēijī
krzesło,椅子,"yǐ zi"
krzew,灌木,guànmù
krzyczeć,喊叫,"hǎn jiào"
krzyk,尖叫声,"jiān jiào shēng"
Krzysztof,克石士托夫,kèshíshìtuōfū
krzywy,歪斜,"wāi xié"
krzywy,扭歪,"niŭ wāi"
krzyż,十字架,"shí zì jià"
księgarnia,书店,"shū diàn"
księgowy,会计,"kuài jì"
księżniczka,公主,gōngzhǔ
księżyc,月亮,yuèliàng
ksiądz,神父,"shén fù"
ksiądz,牧师,"mù shī"
książę,公爵,"gōng jué"
książka,书,shū
ksywka,昵称,"nì chēng"
kształt,形式,"xíng shì"
kto,谁,shuí
kto,谁,shéi
kubek,杯子,"bēi zi"
kucharz,厨师,chúshī
kuchnia,厨房,chúfáng
kucyk,辫子,biànzi
kucyk,小马,xiǎomǎ
kufel,缸子,"gāng zi"
kukułka,杜鹃,"dù juān"
kula,球,qiú
kultura,文化,"wén huà"
kung-fu,功夫,"gōng fu"
kupić,买,mǎi
kupować,买,mǎi
kura,母鸡,mǔjī
kurczak,小鸡,xiǎojī
kurs,课程,"kè chéng"
kurtka,短上衣,"duǎn shàngyī"
kurtka,短外套,"duǎn wàitào"
kuzyn,表哥,"biǎo gē"
kuzyn,表弟,"biǎo dì"
kuzynka,表姐,"biǎo jiě"
kuzynka,表妹,"biǎo mèi"
kwadrat,正方形,"zhèng fāng xíng"
kwas,酸,suān
kwaśny,酸的,"suān de"
kwiaciarnia,花商,huāshāng
kwiat,花,huā
kwiecień,四月,sìyuè
kłamać,说谎,"shuō huǎng"
kłamca,骗子,"piàn zi"
kłamstwo,谎言,"huǎng yán"
"kłonić się",鞠躬,"jū gōng"
"kąpać się",洗澡,xǐzǎo
labirynt,迷宫,mígōng
"lakier do paznokci",指甲油,zhĭjiāyoú
lalka,娃娃,"wá wa"
lalka,洋娃娃,yángwáwa
lama,喇嘛,lămà
lampa,电灯,diàndēng
lampa,灯,dēng
"lampa uliczna",路灯,lùdēng
lampart,豹子,"bào zi"
lampion,灯笼,dēnglóng
lanca,长矛,"cháng máo"
larwa,幼虫,yòuchóng
las,森林,sēnlín
latawiec,风筝,"fēng zheng"
latać,飞,fēi
lato,夏天,xiàtiān
lawa,熔岩,"róng yán"
lawina,雪崩,"xuě bēng"
legalny,合法的,"hé fǎ de"
lek,药,yào
lekarz,医生,yīshēng
lekarz,大夫,dàifù
lekceważyć,忽视,"hū shì"
lekcja,课,kè
lekki,轻的,qīngde
lekki,稀的,xīde
lemur,狐猴,"hú hóu"
len,麻,má
leniwy,懒惰的,"lǎn duò de"
lepić,包,bāo
lew,狮子,"shī zi"
Lew,狮子座,"shī zǐ zuò"
lewy,左边的,"zuǒ biān de"
liana,藤蔓植物,"téng màn zhí wù"
liceum,高中学,"gāo zhōng xué"
liczba,数字,shùzì
Lidia,莉迪亚,lìdíyà
liga,联合会,"lián gě huì"
lilia,百合花,bǎihéhuā
lina,绳,shéng
linijka,尺子,"chǐ zi"
lipa,椴树,"duàn shù"
lipiec,七月,qīyuè
lis,狐狸,"hú li"
list,信,xìn
lista,目录,"mù lù"
listonosz,邮递员,"yóu dì yuán"
listopad,十一月,"shí yī yuè"
litera,字母,"zì mǔ"
litość,宽恕,"kuān shù"
lizak,棒棒糖,"bàng bàng táng"
liść,叶,yè
lód,冰,bīng
lód,冰淇淋,"bīng qí lín"
lodowiec,冰川,"bīng chuān"
lodowisko,溜冰场,"liū bīng chǎng"
lodówka,冰箱,"bīng xiāng"
lody,冰淇淋,"bīng qí lín"
lojalność,忠诚,"zhōng chéng"
lornetka,双眼望远镜,shuāngyǎnwàngyuǎnjìng
los,命运,"mìng yùn"
lotnisko,机场,"jī chǎng"
lotnisko,飞机场,"fēi jī chǎng"
lotos,莲花,"lián huā"
Louisiana,路易斯安娜,lùyìsī`ānnà
lub,或者,"huò zhě"
lubić,喜欢,xǐhuan
Lublin,卢布林市,"lú bù lín shì"
"Lucy Liu",刘玉玲,"liú yù líng"
Luiza,路易莎,"lù yì shā"
luka,空白,"bēi jù"
luneta,望远镜,wàngyuǎnjìng
lupa,放大镜,fàngdàjìng
lusterko,镜子,"jìng zi"
lustro,镜子,"jìng zi"
lutownica,钎焊枪,"qiān hàn qiāng"
luty,二月,èryuè
luźny,松的,sōngde
lycra,莱卡,láikă
macica,子宫,"zǐ gōng"
macierzyństwo,母性,"mǔ xìng"
Madagaskar,马达加斯加,"mǎ dá jiā sī jiā"
mafia,黑手党,"hēi shǒu dǎng"
magazyn,杂志,zázhì
magazyn,仓库,cāngkù
Magda,玛格达,mǎgédá
Magdalena,玛格达雷娜,"mǎ gé dá léi nà"
magia,魔法,mófǎ
magik,魔术师,móshùshī
magnes,磁铁,"cí tiě"
maj,五月,wǔyuè
Maja,玛雅,"mǎ yǎ"
majestatyczny,威严,mēiyán
majtki,短裤,duǎnkù
mak,罂粟,"yīng sù"
makaron,面,miàn
makaron,面条儿,miàntiáor
makler,股票经纪人,"gǔ piào jīng jì rén"
makler,经纪人,"jīng jì rén"
Maks,马克斯,mǎkèsī
makulatura,废纸,"fèi zhǐ"
malarz,画家,"huà jiā"
malina,覆盆子,"fù pén zi"
malować,绘画,"huì huà"
malwa,蜀葵,"shǔ kuí"
mama,妈妈,māma
mamut,猛犸,měngmǎ
mandarynka,橘子,"jú zi"
manga,日本漫画,"rì běn màn huà"
mango,芒果,mángguǒ
mapa,地图,dìtú
marcepan,杏仁蛋白软糖,"xìng rén dàn bái ruǎng táng"
marchew,胡萝卜,"hú luó bo"
marchewka,胡萝卜,"hú luó bo"
Marcin,马尔钦,mǎěrqīn
Marek,马莱克,mǎláikè
Maria,玛利亚,mǎlìyà
Mariusz,马柳士,"mǎ liǔ shì"
marka,商标,"shāng biāo"
marmur,大理石,"dà lǐ shí"
Mars,火星,"huǒ xīng"
Marta,马尔塔,mǎertǎ
"martwić się",困扰,kùnrăo
martwy,死的,"sǐ de"
Martyna,马婷娜,"mà tíng nà"
marzec,三月,sānyuè
Marzena,马哲娜,"mǎ zhé nà"
marzenie,梦想,mèngxiǎng
marzyciel,做梦的人,"zuò mèng de rén"
marzyć,做梦,"zuò mèng"
masakra,大屠杀,"dà tú shā"
masaż,按摩,ànmó
masażysta,按摩师,ànmóshī
maska,假面具,"jiǎ miàn jù"
maszyna,机器,"jī qì"
masło,黄油,huángyóu
mata,席子,"xí zi"
matematyka,数学,shùxué
Mateusz,马修,mǎxiū
matka,母亲,mǔqīn
maść,药膏,"yào gāo"
Małgorzata,玛乌高哲塔,mǎwūgāozhétǎ
Małgorzata,玛乌古然塔,"mǎ wū gǔ rán tǎ"
małpa,猴子,hóuzi
mały,小,xiǎo
małżeństwo,夫妇,fūfù
małżeństwo,夫妻,fūqī
mchy,苔藓,táixiăn
mdłości,恶心,ěxīn
mebel,家具,"jiā jù"
mecz,比赛,"bǐ sài"
medal,奖章,"jiǎng zhāng"
mędrzec,哲人,zhérén
meduza,水母,"shuǐ mǔ"
medycyna,医学,yīxué
medytacja,沉思,"chén sī"
medytować,打坐,"dǎ zuò"
Meksyk,墨西哥,mòxīgē
melon,哈密瓜,hāmìguā
Merkury,水星,"shuǐ xīng"
męstwo,勇敢,"yǒng gǎn"
metal,金属,jīnshǔ
metka,标签,biāoqiān
metr,米,mǐ
metro,地铁,"dì tiě"
mewa,海鸥,hǎiōu
mężczyzna,男,nán
mgła,雾,wù
miasto,城市,chéngshì
Michał,迈赫尔,màihèer
miecz,剑,jiàn
międzynarodowy,国际,guójì
miejsce,地方,"dì fāng"
miękki,软的,ruǎnde
mierzyć,量,liáng
mięsień,肌肉,"jī ròu"
miesiąc,月,yuè
miesiączka,例假,lìjià
mięso,肉,ròu
mieszkanie,公寓,"gōng yù"
mieszkać,住,zhù
miętus,淡水鳕鱼,dànshuǐxuěyú
mieć,有,yǒu
"mieć gorączkę",发烧,fāshāo
migdał,杏仁,"xìng rén"
mikrofon,麦克风,màikèfēng
milczenie,沉默,"chén mò"
milenium,一千年,"yī qiān nián"
minister,部长,"bù zhǎng"
Minnesota,明尼苏达,míngnísūdá
miód,蜂蜜,"fēng mì"
misja,任务,"rèn wu"
misja,代表团,"dài biǎo tuán"
miska,碗,wǎn
Mississippi,密西西比,mīxīxībǐ
Missouri,密苏里,mìsùlǐ
mistrz,冠军,guànjūn
miś,玩具熊,wánjùxíong
miłość,爱情,"ài qíng"
miły,美好,měihǎo
mleko,牛奶,niúnǎi
"mleko krowie",牛奶,niúnǎi
mnich,和尚,héshang
mniszka,尼姑,nĭgū
móc,可以,kěyǐ
mocny,强壮的,"qiáng zhuàng de"
model,模型,"mó xíng"
model,模特儿,"mó tè er"
modelka,模特儿,"mó tè er"
modliszka,螳螂,"táng láng"
mogiła,坟墓,fénmù
mój,我的,"wǒ de"
mokry,湿的,shīde
moment,片刻,"piàn kè"
moneta,硬币,"yìng bì"
Mongolia,蒙古,ménggǔ
Monika,莫妮卡,mòníkǎ
monitor,显示屏,xiǎnshìpíng
Montana,蒙大拿,měngdàná
monument,纪念碑,"jì niàn bēi"
mops,巴哥犬,"bā gē quǎn"
morderca,杀人犯,"shā rén fàn"
morze,海,hǎi
"Morze Bałtyckie",波罗的海,"bō luō dì hǎi"
Moskwa,莫斯科,"mò sī kē"
most,桥,qiáo
most,桥梁,qiáoliáng
motocykl,摩托车,"mó tuō chē"
motor,摩托车,mótuōchē
motyl,蝴蝶,húdié
motyl,螟蛾,"míng é"
mowa,演讲,"yǎn jiǎng"
mówić,说,shuō
mózg,脑子,"nǎo zi"
może,可能,kěnéng
mroczny,黑暗的,"hēi àn de"
mrok,黝暗,"yǒu àn"
mrówka,蚂蚁,máyǐ
mróz,霜,shuāng
msza,弥撒,"mí sa"
mucha,蝇,yíng
mundur,制服,zhìfú
mur,墙,qiáng
"Mur Chiński",长城,chángchéng
Murzyn,黑人,"hēi rén"
musieć,必须,"bì xū"
muzeum,博物馆,"bó wù guǎn"
muzeum,展览馆,"zhǎn lǎn guǎn"
muzyk,音乐家,"yīn yuè jia"
muzyka,音乐,yīnyuè
my,我们,wǒmen
mydło,肥皂,"féi zào"
mysz,老鼠,"lǎo shǔ"
mysz,鼠标,"shǔ biāo"
mysza,老鼠,"lǎo shǔ"
myszka,鼠标,"shǔ biāo"
myć,洗,xǐ
"myć się",洗澡,xǐzǎo
"myć zęby",刷牙,"shuà yá"
myśl,想法,"xiǎng fǎ"
myśleć,想,xiǎng
myśliwy,猎人,"liè rén"
młodość,青春,qīngchūn
młody,年轻的,"nián qīng de"
młotek,锤,chuí
mądrość,智慧,zhìhuì
mądry,聪明,cōngming
mądry,聪慧,cōnghuì
mąka,面粉,"miàn fěn"
mąż,丈夫,zhàngfu
mąż,先生,xiānsheng
mąż,老公,lǎogōng
na,在...上,zài...shàng
"na zawsze",永远,"yǒng yuǎn"
"na zdrowie",干杯,gānbēi
nadzieja,愿望,yuànwàng
nagi,裸体的,"luǒ tǐ de"
nagroda,报酬,bàochou
nagły,突然的,"tū rán de"
najgorszy,最坏的,"zuìhuài de"
najlepszy,最好的,"zuìhăo de"
nakrętka,螺母,luómǔ
"należeć do",属于,"shǔ yǔ"
namiętność,激情,"jī qíng"
namiot,帐篷,"zhàng peng"
napastnik,前锋,"qián fēng"
naprawdę,真的,zhēnde
naprawdę,非常,fēicháng
narcyz,水仙,"shuǐ xiān"
narta,滑雪板,"huá xuě bǎn"
narzeczona,未婚妻,"wèi hūn qī"
narzeczony,未婚夫,"wèi hūn fū"
"narządy płciowe",性器官,xìngqìguān
nasienie,种子,"zhǒng zi"
nasz,我们的,"wǒ men de"
naszyjnik,项链,xiàngliàn
Natalia,娜塔莉亚,nàtǎlìyà
natura,自然,"zì rán"
naturalny,自然,"zì rán"
nauczać,教,jiāo
nauczyciel,老师,"lǎo shī"
nauczyć,教,jiāo
nauka,科学,"kē xué"
nazwa,名字,"míng zi"
nazwisko,姓,xìng
"nazywać się",叫,jiào
Nebraska,内部拉斯加,nèibùlāsījīa
nefryt,软玉,"ruǎn yù"
Neptun,海王星,"hǎi wáng xīng"
nerki,肾,shèn
nerwy,神经,shénjīng
neutron,中子,"zhōng zǐ"
Newada,内华达,nèihuádá
nie,不,bù
"nie ma",没有,"méi yǒu"
"nie wiem",我不知道,"wǒ bù zhīdào"
niebezpieczeństwo,危险,wēixiǎn
niebezpieczny,危险的,"wēi xiǎn de"
niebieski,蓝色,lánsè
niebo,天,tiān
niedziela,星期天,xīngqītiān
niedziela,星期日,xīngqīrì
niedźwiedź,熊,xióng
niegodziwiec,可怜的人,"kělián de rén"
nielegalny,不合法的,"bù hé fǎ de"
Niemcy,德国,"dé guó"
Niemiec,德国人,"dé guó rén"
niemiecki,德国的,"dé guó de"
niemiecki,德语,"dé yǔ"
niemowlę,婴儿,yīng'ér
nienawidzieć,讨厌,"tǎo yàn"
nienawidzić,讨厌,"tǎo yàn"
nienawiść,憎恨,zènghèn
nieobecność,缺席,"quē xí"
nieprzyjaciel,敌人,dírén
niespodzianka,惊奇,"jīng qí"
niespodziewany,突然的,"tū rán de"
niespokojny,躁,zào
nieszczęście,灾难,"zāi nàn"
nietoperz,蝙蝠,biǎnfú
niewidzialny,看不见的,"kàn bu jiàn de"
niewolnik,奴隶,núlì
niezależność,独立,"dú lì"
niezapominajka,勿忘草,"wù wàng cǎo"
nieznany,未知的,"wèi zhī de"
niezniszczalny,破坏不了的,"pòhuài bùliǎo de"
nieśmiertelność,不朽,"bù xiǔ"
nieśmiertelny,不朽,"bù xiǔ"
nigdy,从不,"cóng bù"
ninja,忍者,"rěn zhě"
niski,矮的,ǎide
noc,夜,yè
noc,夜晚,"yè wǎn"
noc,夜间,"yè jiān"
noga,脚,jiǎo
noga,腿,tǔi
nos,鼻子,bízi
nosorożec,犀牛,"xī niú"
notariusz,公证人,"gōng zhèng rén"
nów,月牙,yuèyá
nowość,新奇,"xīn qí"
nowy,新,xīn
"Nowy Meksyk",新墨西哥,"xīn mòxīgē"
nóż,刀,dāo
nożyczki,剪刀,"jiǎn dāo"
nuda,厌烦,"yàn fán"
nudny,枯燥,kūzào
nudny,无聊,wúliáo
nudny,呆板,dāibǎn
numer,号码,"hào mǎ"
nurek,潜水员,"qián shuǐ yuán"
nuta,音符,"yīn fú"
nylon,尼龙,nílóng
Nysa,尼斯,"ní sī"
oaza,绿洲,"lǜ zhōu"
obcy,外国的,"wài guó de"
obejrzeć,看,kàn
obelgi,辱骂,"rǔ mà"
obfitość,丰富,"fēng fù"
obiad,午饭,wǔfàn
objętość,体积,"tǐ jī"
obniżka,折扣,zhékòu
obok,旁边,pángbiān
obraz,绘画,huìhuà
obrobiony,锤炼成,"chúiliàn chéng"
obrona,防御,"fáng yù"
obrońca,防卫者,"fáng wèi zhe"
obrączka,耳环,ěrhuán
obywatel,公民,gōngmín
obłok,云,yún
ocean,洋,yáng
ocean,海洋,"hǎi yáng"
ocena,成绩,"chéng jì"
ochota,乐趣,"lè qù"
ochota,兴趣,"xìng qù"
ochraniać,保护,"bǎo hù"
ochrona,保护,"bǎo hù"
oczekiwać,等候,"děng hòu"
oczywiście,当然,"dāng rán"
odbyt,肛门,gāngmén
odcinek,插曲,"chā qǔ"
oddać,归还,"guī huán"
oddech,气息,qìxī
odkurzacz,吸尘器,"xī chén qì"
odległość,距离,"jù lí"
odpoczynek,休息,"xiū xi"
odpoczywać,休息,"xiū xi"
odpowiadać,回答,huídá
odpowiedzieć,回答,huídá
odpływ,低潮,"dī cháo"
odra,麻疹,"má zhěn"
odraza,厌恶,"yàn wù"
odwaga,勇气,yǒngqì
odważny,勇敢的,"yǒng gǎn de"
odwiedzać,探望,tànwàng
odwiedzać,拜访,bàifǎng
odwiedzić,探望,tànwàng
odwiedzić,拜访,bàifǎng
oferować,提供,"tí gōng"
oferta,出价,"chū jià"
ogień,火,hǔo
oglądać,看,kàn
ognisko,营火,"yíng huǒ"
"ogniwo słoneczne",太阳能电池,"tài yáng néng diàn chí"
ogon,尾巴,"wěi ba"
ogórek,黄瓜,"huáng guā"
ogrodzenie,围墙,"wéi qiáng"
ojciec,父亲,fùqin
ojczyzna,祖国,zǔguó
Oklahoma,俄克拉何马,ékèlāhémǎ
okno,窗户,chuānghù
oko,眼睛,yǎnjīng
okres,时期,"shí qī"
okrutny,残酷的,"cán kù de"
okrąg,圆,yuán
okulary,眼镜,yǎnjìng
okładka,封面,"fēng miàn"
Olaf,欧拉夫,"ōu lā fū"
olbrzym,巨人,jùrén
olej,油,yóu
olimpiada,奥林匹克,"ào lín pǐ kè"
olimpiada,奥运会,"aò yùn hùi"
oliwa,橄榄油,"gǎn lǎn yóu"
Oliwia,奥莉维亚,"ào lì weí yà"
oliwka,橄榄,gánlǎn
"oliwka dla dzieci",婴儿护肤油,"yīngér hùfūyóu"
on,他,tā
ona,她,tā
one,她们,tāmen
oni,他们,tāmen
ono,它,tā
opcja,选择,"xuǎn zé"
Opel,欧宝,"ōu bǎo"
opera,歌剧,gējù
opis,描写,"miáo xiě"
opisać,描述,"miáo shù"
opona,轮胎,"lún tāi"
opowiadanie,故事,"gù shì"
optymizm,乐观,"lè guān"
opuszczać,放弃,"fàng qì"
opuszczać,离开,"lí kāi"
orchidea,兰花,lánhuā
ordynator,院长,yùanzhăng
Oregon,俄勒冈,élègāng
origami,折纸手工,"zhé zhǐ shǒu gōng"
orkiestra,管弦乐队,guǎnxiányuèduì
orzeł,鹰,yīng
osa,黄蜂,"húang fēng"
osada,沉降,"chén jiàng"
osiem,八,bā
osioł,驴,lǘ
Oskar,奥斯卡,àosīkǎ
oskarżenie,控告,"kòng gào"
osoba,人,rén
ostatni,最后的,"zuì hòu de"
ostry,尖的,"jiān de"
ostry,锋利的,"fēng lì de"
ostry,辣的,"là de"
ostrze,刀锋,"dāo fēng"
oszukać,骗,piàn
oszukiwać,骗,piàn
oszust,骗子,"piàn zi"
osądzać,判决,"pàn jué"
otchłań,深渊,"shēn yuān"
otwarty,开着的,kāizhede
otwierać,打开,"dǎ kāi"
owca,羊,yáng
owijać,包,bāo
owijać,裹,guŏ
